state,cityNumber,attendance,lat,long,,,
Washington DC,1,1000000,38.897438,-77.026817,,,
Alabama,4,11170,32.806671,-86.79113,,,
Alaska,25,11142,61.370716,-152.404419,,,
Arizona,6,38850,33.729759,-111.431221,,,
Arkansas,3,7600,34.969704,-92.373123,,,
California,60,1224588,36.116203,-119.681564,,,
Colorado,16,213149,39.059811,-105.311104,,,
Connecticut,6,17200,41.597782,-72.755371,,,
Delaware,2,1250,39.318523,-75.507141,,,
Florida,20,80020,27.766279,-81.686783,,,
Georgia,6,62535,33.040619,-83.643074,,,
Hawaii,6,17050,21.094318,-157.498337,,,
Idaho,8,12380,44.240459,-114.478828,,,
Illinois,9,261550,40.349457,-88.986137,,,
Indiana,9,8967,39.849426,-86.258278,,,
Iowa,5,28500,42.011539,-93.210526,,,
Kansas,2,7200,38.5266,-96.726486,,,
Kentucky,4,10800,37.66814,-84.670067,,,
Louisiana,2,15100,31.169546,-91.867805,,,
Maine,11,20898,44.693947,-69.381927,,,
Maryland,6,7764,39.063946,-76.802101,,,
Massachusetts,10,182060,42.230171,-71.530106,,,
Michigan,17,36649,43.326618,-84.536095,,,
Minnesota,12,103599,45.694454,-93.900192,,,
Mississippi,3,1750,32.741646,-89.678696,,,
Missouri,4,27000,38.456085,-92.288368,,,
Montana,3,10123,46.921925,-110.454353,,,
Nebraska,3,17125,41.12537,-98.268082,,,
Nevada,3,15500,38.313515,-117.055374,,,
New Hampshire,7,7334,43.452492,-71.563896,,,
New Jersery,10,16870,40.298904,-74.521011,,,
New Mexico,4,26550,34.840515,-106.248482,,,
New York,25,454080,42.165726,-74.948051,,,
North Carolina,9,62270,35.630066,-79.806419,,,
North Dakota,3,3804,47.528912,-99.784012,,,
Ohio,13,31180,40.388783,-82.764915,,,
Oklahoma,2,13000,35.565342,-96.928917,,,
Oregon,22,128366,44.572021,-122.070938,,,
Pennsylvania,17,83750,40.590752,-77.209755,,,
Rhode Island,1,5000,41.680893,-71.51178,,,
South Carolina,4,7500,33.856892,-80.945007,,,
South Dakota,4,4930,44.299782,-99.438828,,,
Tennessee,6,30500,35.747845,-86.692345,,,
Texas,20,98410,31.054487,-97.563461,,,
Utah,8,15973,40.150032,-111.862434,,,
Vermont,3,20362,44.045876,-72.710686,,,
Virginia,11,12087,37.769337,-78.169968,,,
Washinton,27,217063,47.400902,-121.490494,,,
West Virginia,2,3100,38.491226,-80.954453,,,
Wisconsin,12,103093,44.268543,-89.616508,,,
Wyoming,6,5000,42.755966,-107.30249,,,
